date,Network Value,Txn Value,NVT,Network Value1,Txn Value1,NVT1
9/1/2013,1522502783,19292550,78.91661719,"$1,522,502,783 ","$19,292,550 ",78.91661719
9/3/2013,1519566392,21059813,72.15479038,"$1,519,566,392 ","$21,059,813 ",72.15479038
9/5/2013,1451422408,25503578,56.91054048,"$1,451,422,408 ","$25,503,578 ",56.91054048
9/7/2013,1401657885,13811249,101.4866856,"$1,401,657,885 ","$13,811,249 ",101.4866856
9/9/2013,1420313587,15359356,92.47220958,"$1,420,313,587 ","$15,359,356 ",92.47220958
9/11/2013,1449999913,17480102,82.95145603,"$1,449,999,913 ","$17,480,102 ",82.95145603
9/13/2013,1500297027,17487264,85.79369687,"$1,500,297,027 ","$17,487,264 ",85.79369687
9/15/2013,1468452843,9903219,148.2803564,"$1,468,452,843 ","$9,903,219 ",148.2803564
9/17/2013,1494135792,17593089,84.92742758,"$1,494,135,792 ","$17,593,089 ",84.92742758
9/19/2013,1454681585,27283020,53.31820249,"$1,454,681,585 ","$27,283,020 ",53.31820249
9/21/2013,1448821725,13680647,105.9030121,"$1,448,821,725 ","$13,680,647 ",105.9030121
9/23/2013,1444503916,19845271,72.78831897,"$1,444,503,916 ","$19,845,271 ",72.78831897
9/25/2013,1459413032,22296216,65.45563749,"$1,459,413,032 ","$22,296,216 ",65.45563749
9/27/2013,1477191020,20570062,71.81266736,"$1,477,191,020 ","$20,570,062 ",71.81266736
9/29/2013,1507679355,18613584,80.99887453,"$1,507,679,355 ","$18,613,584 ",80.99887453
10/1/2013,1497171491,28385075,52.745025,"$1,497,171,491 ","$28,385,075 ",52.745025
10/3/2013,1378615371,39333168,35.04969066,"$1,378,615,371 ","$39,333,168 ",35.04969066
10/5/2013,1433550678,12004509,119.4176853,"$1,433,550,678 ","$12,004,509 ",119.4176853
10/7/2013,1459305030,22147123,65.89140404,"$1,459,305,030 ","$22,147,123 ",65.89140404
10/9/2013,1489654112,22600153,65.91345253,"$1,489,654,112 ","$22,600,153 ",65.91345253
10/11/2013,1499813238,20022201,74.90751082,"$1,499,813,238 ","$20,022,201 ",74.90751082
10/13/2013,1535485874,13162986,116.6517896,"$1,535,485,874 ","$13,162,986 ",116.6517896
10/15/2013,1649680710,25180562,65.51405445,"$1,649,680,710 ","$25,180,562 ",65.51405445
10/17/2013,1699564141,25606096,66.37341909,"$1,699,564,141 ","$25,606,096 ",66.37341909
10/19/2013,1958730875,32532840,60.20780464,"$1,958,730,875 ","$32,532,840 ",60.20780464
10/21/2013,2103224180,30979595,67.89062865,"$2,103,224,180 ","$30,979,595 ",67.89062865
10/23/2013,2377290529,48435641,49.08143011,"$2,377,290,529.00 ","$48,435,641 ",49.08143011
10/25/2013,2056551327,59153404,34.76640713,"$2,056,551,327 ","$59,153,404 ",34.76640713
10/27/2013,2251714053,20364921,110.5682685,"$2,251,714,053.00 ","$20,364,921 ",110.5682685
10/29/2013,2408599561,56466616,42.65528433,"$2,408,599,561.00 ","$56,466,616 ",42.65528433
10/31/2013,2404920006,30015321,80.12308133,"$2,404,920,006.00 ","$30,015,321 ",80.12308133
11/2/2013,2437295813,25308174,96.30468846,"$2,437,295,813.00 ","$25,308,174 ",96.30468846
11/4/2013,2689641115,44225105,60.81706567,"$2,689,641,115.00 ","$44,225,105 ",60.81706567
11/6/2013,3087643199,66303724,46.56817162,"$3,087,643,199.00 ","$66,303,724 ",46.56817162
11/8/2013,3895040535,105554624,36.90070967,"$3,895,040,535.00 ","$105,554,624 ",36.90070967
11/10/2013,3554569406,66944275,53.09743673,"$3,554,569,406.00 ","$66,944,275 ",53.09743673
11/12/2013,4240843076,80529524,52.66196627,"$4,240,843,076.00 ","$80,529,524 ",52.66196627
11/14/2013,4994001600,116172520,42.98780469,"$4,994,001,600.00 ","$116,172,520 ",42.98780469
