,date,open,high,low,close,volume
0,2013/9/1,806.37,815,803.2,811.42,84.2276
1,2013/9/2,810.6,816.7,801,811,317.1206
2,2013/9/3,809.7,812,797.9,801.37,304.0173
3,2013/9/4,801,802.2,797,798.2,308.53
4,2013/9/5,800,802,663.27,752.3,1016.1104
5,2013/9/6,752.3,752.3,723.64,739.98,518.1195
6,2013/9/7,739.2,740.4,696.9,725,1033.8905
7,2013/9/8,725.79,732,715.85,715.86,698.429
8,2013/9/9,715.86,769.05,711.81,755.26,766.0423
9,2013/9/10,756,763,500,749,1726.9743
10,2013/9/11,747,757,722,749,1190.6702
11,2013/9/12,748.99,768.3,746,759,828.1462
12,2013/9/13,758,766.76,754,762.61,594.4632
13,2013/9/14,763.23,766.58,753.2,753.25,2145.4302
14,2013/9/15,754.44,761,741.76,754.25,696.2108
15,2013/9/16,755.68,758.08,745,756.6,907.4939
16,2013/9/17,752.14,757.59,748.63,753.9,968.4375
17,2013/9/18,755.4,765,754.6,758.8,424.1958
18,2013/9/19,758.8,763,754.4,755,329.9089
19,2013/9/20,755.76,755.76,738,743,675.4576
20,2013/9/21,743,747.61,740.69,740.69,577.7013
21,2013/9/22,740.26,747,740.26,745.61,424.791
22,2013/9/23,745.61,746,730.43,736,450.8465
23,2013/9/24,735.95,741,729.3,729.3,684.1842
24,2013/9/25,733,751.5,732.9,747,1123.5083
25,2013/9/26,747,750.6,745,747.37,737.9142
26,2013/9/27,748.25,760.6,747.4,758,1503.6944
27,2013/9/28,758.17,767,756,762,2118.4571
28,2013/9/29,762,789,760.4,788,2851.3215
29,2013/9/30,786.4,794.2,770,770,2387.7725
30,2013/10/1,773,784.36,766,780.67,1332.8924
31,2013/10/2,780.67,782.1,776,778,1008.3536
32,2013/10/3,778,778,679.11,735,3876.1255
33,2013/10/4,739.5,770,726.01,758,2406.0372
34,2013/10/5,758.1,765.03,753,760,1044.442
35,2013/10/6,760.05,762.24,755,760,1009.8404
36,2013/10/7,755.8,770,755.8,763,1613.0421
37,2013/10/8,763,769,761.5,765,1176.6683
38,2013/10/9,765,800.48,765,793,3191.644
39,2013/10/10,791.06,809,791.06,795.01,3367.0715
40,2013/10/11,795.01,808.88,794.8,801.98,4384.0927
41,2013/10/12,800.5,806.5,798.87,803,1906.7376
42,2013/10/13,803,829,802.21,829,4362.6601
43,2013/10/14,827,900,823.01,874,7573.0006
44,2013/10/15,874,885.49,857.2,885.49,3451.6425
45,2013/10/16,886,929.99,877.13,912,8184.6852
46,2013/10/17,914.05,918.07,885,901,6288.065
47,2013/10/18,901,928,900,926.7,4861.2711
48,2013/10/19,925,1037.35,915.03,1019,17943.5282
49,2013/10/20,1018.89,1021.55,978.5,1019,5572.175
50,2013/10/21,1018.05,1130.75,1014.2,1119.68,13998.3863
51,2013/10/22,1120,1359.99,1106.3,1193,15649.8959
52,2013/10/23,1192.97,1265,1192.97,1243.8,8680.2319
53,2013/10/24,1243.8,1324,1029,1218,14942.907
54,2013/10/25,1218,1220.5,1020.01,1075,12866.967
55,2013/10/26,1070,1175,1020.1,1079.9,8040.8104
56,2013/10/27,1076.1,1134.8,1075,1131.3,4489.1749
57,2013/10/28,1131.3,1238.1,1027.1,1236.9,10568.0539
58,2013/10/29,1233.1,1278,1220.81,1258,6815.5408
59,2013/10/30,1257,1280,1240,1266,7155.1013
60,2013/10/31,1266,1271,1236,1259,6256.6444
61,2013/11/1,1258.1,1267,1256,1264.88,5049.3509
62,2013/11/2,1265,1277.5,1262,1268.98,5569.6958
63,2013/11/3,1269,1284.54,1263.01,1279.1,5276.0672
64,2013/11/4,1279,1396,1279,1393,17534.7777
65,2013/11/5,1393,1515.3,1375.01,1512.5,25318.7851
66,2013/11/6,1512.5,1634.99,1488,1624,22487.8649
67,2013/11/7,1618,1949.99,1608,1851.21,39293.8478
68,2013/11/8,1851.3,2046,1812.1,2042,27105.2219
69,2013/11/9,2043,2700,2042,2500,44900.0594
70,2013/11/10,2500,2548.7,1925,1925,48646.8235
71,2013/11/11,1925,2249.9,1862,2225,29828.3586
72,2013/11/12,2225,2445,2110,2351,37576.4591
73,2013/11/13,2351,2498,2330.11,2476,28487.5867
74,2013/11/14,2479,2675,2471.9,2641.49,37894.337
75,2013/11/15,2641.59,2800,2605,2729,22516.8875
76,2013/11/16,2729,2793.12,2629,2758,31260.4646
77,2013/11/17,2758,3029,2741,2983,40083.635
78,2013/11/18,2983,4150,2980,4140,71729.0451
79,2013/11/19,4140,8000,4002,5685,83651.6276
80,2013/11/20,5680,6199,3450,4156,59877.0372
81,2013/11/21,4156,4995,4001.11,4908,44955.0942
82,2013/11/22,4899,5189,4650.1,5002,44919.2222
83,2013/11/23,5003,5955,4941,5605,48220.5376
84,2013/11/24,5849,5849,4909,5380,39277.4017
85,2013/11/25,5380,5410,5150,5200,21683.2552
86,2013/11/26,5200,5849,5008,5179.99,23001.0755
87,2013/11/27,5179.98,5880,5158.03,5737.2,38009.6359
88,2013/11/28,5738,6700,5510,6655,46897.6673
89,2013/11/29,6655,7550,6450,7097,40175.8007
90,2013/11/30,7097,7500,6902,7222,21065.2807
91,2013/12/1,7222,7349,5500,6500,42223.2458
92,2013/12/2,6500.01,6570,5827,6170.95,41221.6745
93,2013/12/3,6170.95,6600,5950,6389.1,14162.5319
94,2013/12/4,6389.1,6950,6370.95,6748,20545.929
95,2013/12/5,6748,7000,5000,5997,49129.8609
96,2013/12/6,5993.1,6270,5750,5850,20990.8355
97,2013/12/7,5850,6048.9,4201,4768,55534.2714
98,2013/12/8,4765,5000.01,4550,4718,24424.1152
99,2013/12/9,4718,5550,4701,5334,40551.752
100,2013/12/10,5329,5838,5300,5707,27244.4795
101,2013/12/11,5702.1,6080,5150,5450,52556.3889
102,2013/12/12,5450,5650,5251,5425,31730.8635
103,2013/12/13,5425.1,5655,5312,5499,30700.5107
104,2013/12/14,5497.89,5546,5145,5370,24925.1556
105,2013/12/15,5370,5380,4950,5229,33819.761
106,2013/12/16,5229,5345,4577.77,4705.1,42226.6741
107,2013/12/17,4705.1,4720,3105,3813,86320.9462
108,2013/12/18,3818,3928,2119.99,2839,110786.8182
109,2013/12/19,2840,3579,2562,3462,106477.2242
110,2013/12/20,3464.99,4288,3436,3985,89760.1192
111,2013/12/21,3985,4099,3250,3486,77599.4389
112,2013/12/22,3486,3956,3310,3771,80682.2047
113,2013/12/23,3774,3866,3666,3725,44532.1191
114,2013/12/24,3724,3970,3690,3828,47522.5394
115,2013/12/25,3828,3960,3763.12,3933,57988.1474
116,2013/12/26,3933,4326,3892,4288.07,95557.4587
117,2013/12/27,4290,4555,4200,4400.01,140844.0891
118,2013/12/28,4403.39,4450,4315,4390,47033.6182
119,2013/12/29,4390,4398,4203,4278,63211.1854
120,2013/12/30,4275,4410,4250,4363,50103.8396
121,2013/12/31,4363.4,4399.9,4240,4373,44691.2363
122,2014/1/1,4373.1,4395,4335,4354,30469.8835
123,2014/1/2,4352.55,4379.1,4340.08,4370.4,18563.5116
124,2014/1/3,4370.3,4848,4368.9,4745,112668.3285
125,2014/1/4,4745.47,4850,4649.92,4834,70463.9936
126,2014/1/5,4834,5555,4831,5345,126020.4199
127,2014/1/6,5345,5999,5272,5380,176788.4789
128,2014/1/7,5361,5842.77,4900,5367,136717.6909
129,2014/1/8,5364.2,5366,4200,4662,196244.126
130,2014/1/9,4662,5089,4611,4909,105943.681
131,2014/1/10,4911,5058,4888,5004.89,58678.8958
132,2014/1/11,5004,5499,5002.41,5447.11,133467.0816
133,2014/1/12,5447.11,5549,5050,5259,130265.2188
134,2014/1/13,5255,5280,4640,4835,129104.859
135,2014/1/14,4835,5080,4738,4971,100056.334
136,2014/1/15,4965.11,5195,4953.1,5122,91914.6105
137,2014/1/16,5118.35,5157,4865,5001.99,68522.0987
138,2014/1/17,5001.6,5002.51,4791,4835,73671.5842
139,2014/1/18,4835,4924.44,4792.01,4850.99,47544.223
140,2014/1/19,4854,5121,4835,5065,52393.8711
141,2014/1/20,5063.1,5150,4968,4984,82670.8025
142,2014/1/21,4984,5069,4950.1,5000,41041.0618
143,2014/1/22,5000,5050,4970.2,4975,29295.144
144,2014/1/23,4975.88,5007.01,4888,4923.98,27388.122
145,2014/1/24,4923.98,4940,4538,4734.59,84609.2971
146,2014/1/25,4753.02,4848,4670,4778.2,54159.1351
147,2014/1/26,4778.2,5150,4773,5017,88773.9272
148,2014/1/27,5016.31,5086,4855,4929.8,59934.3214
149,2014/1/28,4929.79,4929.79,4600,4796.98,99916.3519
150,2014/1/29,4798,4848,4722,4804.99,41815.8386
151,2014/1/30,4805,4847,4734,4823,25856.2931
152,2014/1/31,4821.99,4900,4813,4865.98,22042.4512
153,2014/2/1,4866.01,4994,4855.1,4945,27767.4256
154,2014/2/2,4945.02,5026.99,4925,4986.01,26816.6777
155,2014/2/3,4987.01,4998,4870,4917.8,25873.1914
156,2014/2/4,4917.79,4921.88,4871.6,4909.99,18779.5519
157,2014/2/5,4910.01,4950,4904.98,4913,16043.6674
158,2014/2/6,4913,4913.98,4756,4804,42171.0841
159,2014/2/7,4802.91,4810,4388,4600,124860.4977
160,2014/2/8,4601,4660.9,4485,4550.01,75348.4064
161,2014/2/9,4551.01,4599,4450,4486.98,72668.888
162,2014/2/10,4486.98,4535,3507.98,4152.99,121703.6467
163,2014/2/11,4151,4386,4055,4263.01,113527.8418
164,2014/2/12,4263.01,4315,3874.03,4000,141407.7256
165,2014/2/13,4000,4069.8,3800,3962.79,80699.464
166,2014/2/14,3962.79,4035.9,3280.81,3991,211935.5509
167,2014/2/15,3991,4141.82,3833.01,4024,151277.9479
168,2014/2/16,4023,4044,3780.3,3825.55,107932.3344
169,2014/2/17,3825.54,4000,3667,3929,131769.6378
170,2014/2/18,3928,3961,3791,3800,77558.2426
171,2014/2/19,3800,3877.98,3790.08,3814,38951.6159
172,2014/2/20,3814.97,3850,3580,3627.8,112143.5042
173,2014/2/21,3627.8,3645,3267,3428.99,194593.8272
174,2014/2/22,3428.99,3628,3400.9,3516,116332.6347
175,2014/2/23,3516,3920,3515.99,3800,224078.1566
176,2014/2/24,3798.05,3859.9,3548,3625.07,166863.3054
177,2014/2/25,3625.07,3640,3040.99,3375.02,334562.3555
178,2014/2/26,3375.02,3627.99,3227.99,3472,254801.6691
179,2014/2/27,3471.01,3610,3462.99,3535,140844.3989
180,2014/2/28,3534,3570,3380.1,3420,114792.6895
181,2014/3/1,3421,3509,3376,3447.99,104047.5818
182,2014/3/2,3447.86,3497.5,3420.13,3438,48569.7179
183,2014/3/3,3438.02,3745.02,3420.5,3687.03,147378.3399
184,2014/3/4,3688,4296.89,3653,4205.01,339836.8291
185,2014/3/5,4205,4209,3850.01,3930.04,220155.5261
186,2014/3/6,3930,4020,3875,3918,100085.5329
187,2014/3/7,3918.13,3946.23,3810,3842,88527.2531
188,2014/3/8,3842,3882,3642.02,3657.01,121528.674
189,2014/3/9,3657.01,3836.66,3630,3805.2,110987.0862
190,2014/3/10,3805.21,3865,3768.1,3787,94244.4552
191,2014/3/11,3787,3838,3770,3789,57127.7129
192,2014/3/12,3789.98,3885.99,3786.3,3867.44,78274.4935
193,2014/3/13,3867.44,3938.39,3857,3910.12,66201.1439
194,2014/3/14,3910.12,3925,3795,3832,78300.0773
195,2014/3/15,3832.11,3850.02,3810,3831.97,36922.0161
196,2014/3/16,3831.97,3866,3830,3833.02,29396.298
197,2014/3/17,3833.02,3848,3729.9,3766.05,59703.4314
198,2014/3/18,3767,3768,3657.85,3702.01,85295.1452
199,2014/3/19,3703,3818.01,3695,3740.01,64560.8224
200,2014/3/20,3740.01,3750,3628.99,3648.9,46581.2159
201,2014/3/21,3647.07,3706,3213.1,3556.03,150476.4549
202,2014/3/22,3556.5,3560.04,3440,3460.17,58733.3853
203,2014/3/23,3460.84,3489.9,3441,3452.22,18627.7187
204,2014/3/24,3452.2,3486.02,3376,3448,63194.2459
205,2014/3/25,3448.1,3593.9,3441.05,3539,62466.15
206,2014/3/26,3539,3626,3494.33,3599.82,87075.026
207,2014/3/27,3599.82,3602.27,3018.88,3126.03,188773.4582
208,2014/3/28,3128.02,3215,2801,3030,210370.4625
209,2014/3/29,3030,3062,2950,2996.62,40848.6254
210,2014/3/30,2996.62,3004.99,2731,2785,75817.5847
211,2014/3/31,2783.98,2897.3,2600,2794.9,114991.5606
212,2014/4/1,2794.9,2918,2705.51,2853.51,93991.0441
213,2014/4/2,2853.8,3002,2621.1,2689.81,135233.7758
214,2014/4/3,2689.81,2710.02,2410.08,2659,158854.5389
215,2014/4/4,2658.98,2789.01,2581.01,2749,115948.9638
