date,open,high,low,close,volume,NVT
2013-09-01,806.37,815.0,803.2,811.42,84.2276,78.91661719
2013-09-02,810.6,816.7,801.0,811.0,317.1206,78.91661719
2013-09-03,809.7,812.0,797.9,801.37,304.0173,72.15479038
2013-09-04,801.0,802.2,797.0,798.2,308.53,72.15479038
2013-09-05,800.0,802.0,663.27,752.3,1016.1104,56.91054048
2013-09-06,752.3,752.3,723.64,739.98,518.1195,56.91054048
2013-09-07,739.2,740.4,696.9,725.0,1033.8905,101.48668559999999
2013-09-08,725.79,732.0,715.85,715.86,698.429,101.48668559999999
2013-09-09,715.86,769.05,711.81,755.26,766.0423,92.47220958
2013-09-10,756.0,763.0,500.0,749.0,1726.9743,92.47220958
2013-09-11,747.0,757.0,722.0,749.0,1190.6702,82.95145603
2013-09-12,748.99,768.3,746.0,759.0,828.1462,82.95145603
2013-09-13,758.0,766.76,754.0,762.61,594.4632,85.79369687
2013-09-14,763.23,766.58,753.2,753.25,2145.4302,85.79369687
2013-09-15,754.44,761.0,741.76,754.25,696.2108,148.2803564
2013-09-16,755.68,758.08,745.0,756.6,907.4939,148.2803564
2013-09-17,752.14,757.59,748.63,753.9,968.4375,84.92742758
2013-09-18,755.4,765.0,754.6,758.8,424.1958,84.92742758
2013-09-19,758.8,763.0,754.4,755.0,329.9089,53.31820249
2013-09-20,755.76,755.76,738.0,743.0,675.4576,53.31820249
2013-09-21,743.0,747.61,740.69,740.69,577.7013,105.9030121
2013-09-22,740.26,747.0,740.26,745.61,424.791,105.9030121
2013-09-23,745.61,746.0,730.43,736.0,450.8465,72.78831897
2013-09-24,735.95,741.0,729.3,729.3,684.1842,72.78831897
2013-09-25,733.0,751.5,732.9,747.0,1123.5083,65.45563749
2013-09-26,747.0,750.6,745.0,747.37,737.9142,65.45563749
2013-09-27,748.25,760.6,747.4,758.0,1503.6944,71.81266736
2013-09-28,758.17,767.0,756.0,762.0,2118.4571,71.81266736
2013-09-29,762.0,789.0,760.4,788.0,2851.3215,80.99887453
2013-09-30,786.4,794.2,770.0,770.0,2387.7725,80.99887453
2013-10-01,773.0,784.36,766.0,780.67,1332.8924,52.745025
2013-10-02,780.67,782.1,776.0,778.0,1008.3536,52.745025
2013-10-03,778.0,778.0,679.11,735.0,3876.1255,35.04969066
2013-10-04,739.5,770.0,726.01,758.0,2406.0372,35.04969066
2013-10-05,758.1,765.03,753.0,760.0,1044.442,119.41768529999999
2013-10-06,760.05,762.24,755.0,760.0,1009.8404,119.41768529999999
2013-10-07,755.8,770.0,755.8,763.0,1613.0421,65.89140404
2013-10-08,763.0,769.0,761.5,765.0,1176.6683,65.89140404
2013-10-09,765.0,800.48,765.0,793.0,3191.6440000000002,65.91345253
2013-10-10,791.06,809.0,791.06,795.01,3367.0715,65.91345253
2013-10-11,795.01,808.88,794.8,801.98,4384.0927,74.90751082
2013-10-12,800.5,806.5,798.87,803.0,1906.7376,74.90751082
2013-10-13,803.0,829.0,802.21,829.0,4362.6601,116.6517896
2013-10-14,827.0,900.0,823.01,874.0,7573.0006,116.6517896
2013-10-15,874.0,885.49,857.2,885.49,3451.6425,65.51405445
2013-10-16,886.0,929.99,877.13,912.0,8184.6852,65.51405445
2013-10-17,914.05,918.07,885.0,901.0,6288.065,66.37341909
2013-10-18,901.0,928.0,900.0,926.7,4861.2711,66.37341909
2013-10-19,925.0,1037.35,915.03,1019.0,17943.5282,60.20780464
2013-10-20,1018.89,1021.55,978.5,1019.0,5572.175,60.20780464
2013-10-21,1018.05,1130.75,1014.2,1119.68,13998.3863,67.89062865
2013-10-22,1120.0,1359.99,1106.3,1193.0,15649.8959,67.89062865
2013-10-23,1192.97,1265.0,1192.97,1243.8,8680.2319,49.08143011
2013-10-24,1243.8,1324.0,1029.0,1218.0,14942.907,49.08143011
2013-10-25,1218.0,1220.5,1020.01,1075.0,12866.966999999999,34.76640713
2013-10-26,1070.0,1175.0,1020.1,1079.9,8040.8104,34.76640713
2013-10-27,1076.1,1134.8,1075.0,1131.3,4489.1749,110.5682685
2013-10-28,1131.3,1238.1,1027.1,1236.9,10568.0539,110.5682685
2013-10-29,1233.1,1278.0,1220.81,1258.0,6815.5408,42.65528433
2013-10-30,1257.0,1280.0,1240.0,1266.0,7155.1013,42.65528433
2013-10-31,1266.0,1271.0,1236.0,1259.0,6256.6444,80.12308133
2013-11-01,1258.1,1267.0,1256.0,1264.88,5049.3509,80.12308133
2013-11-02,1265.0,1277.5,1262.0,1268.98,5569.6958,96.30468846
2013-11-03,1269.0,1284.54,1263.01,1279.1,5276.0672,96.30468846
2013-11-04,1279.0,1396.0,1279.0,1393.0,17534.7777,60.81706567
2013-11-05,1393.0,1515.3,1375.01,1512.5,25318.7851,60.81706567
2013-11-06,1512.5,1634.99,1488.0,1624.0,22487.8649,46.56817162
2013-11-07,1618.0,1949.99,1608.0,1851.21,39293.8478,46.56817162
2013-11-08,1851.3,2046.0,1812.1,2042.0,27105.2219,36.90070967
2013-11-09,2043.0,2700.0,2042.0,2500.0,44900.0594,36.90070967
2013-11-10,2500.0,2548.7,1925.0,1925.0,48646.8235,53.09743673
2013-11-11,1925.0,2249.9,1862.0,2225.0,29828.3586,53.09743673
2013-11-12,2225.0,2445.0,2110.0,2351.0,37576.4591,52.66196627
2013-11-13,2351.0,2498.0,2330.11,2476.0,28487.5867,52.66196627
2013-11-14,2479.0,2675.0,2471.9,2641.49,37894.337,42.98780469
2013-11-15,2641.59,2800.0,2605.0,2729.0,22516.8875,42.98780469
2013-11-16,2729.0,2793.12,2629.0,2758.0,31260.4646,53.81817141
2013-11-17,2758.0,3029.0,2741.0,2983.0,40083.635,53.81817141
2013-11-18,2983.0,4150.0,2980.0,4140.0,71729.0451,38.23385069
2013-11-19,4140.0,8000.0,4002.0,5685.0,83651.6276,38.23385069
2013-11-20,5680.0,6199.0,3450.0,4156.0,59877.0372,37.63345903
2013-11-21,4156.0,4995.0,4001.11,4908.0,44955.0942,37.63345903
2013-11-22,4899.0,5189.0,4650.1,5002.0,44919.2222,18.313193899999998
2013-11-23,5003.0,5955.0,4941.0,5605.0,48220.5376,18.313193899999998
2013-11-24,5849.0,5849.0,4909.0,5380.0,39277.4017,53.09968502
2013-11-25,5380.0,5410.0,5150.0,5200.0,21683.2552,53.09968502
2013-11-26,5200.0,5849.0,5008.0,5179.99,23001.0755,42.36952652
2013-11-27,5179.98,5880.0,5158.03,5737.2,38009.6359,42.36952652
2013-11-28,5738.0,6700.0,5510.0,6655.0,46897.6673,35.34477764
2013-11-29,6655.0,7550.0,6450.0,7097.0,40175.8007,35.34477764
2013-11-30,7097.0,7500.0,6902.0,7222.0,21065.2807,51.98227653
2013-12-01,7222.0,7349.0,5500.0,6500.0,42223.2458,51.98227653
2013-12-02,6500.01,6570.0,5827.0,6170.95,41221.6745,57.09930115
2013-12-03,6170.95,6600.0,5950.0,6389.1,14162.5319,57.09930115
2013-12-04,6389.1,6950.0,6370.95,6748.0,20545.929,70.62099898
2013-12-05,6748.0,7000.0,5000.0,5997.0,49129.8609,70.62099898
2013-12-06,5993.1,6270.0,5750.0,5850.0,20990.8355,38.86566438
2013-12-07,5850.0,6048.9,4201.0,4768.0,55534.2714,38.86566438
2013-12-08,4765.0,5000.01,4550.0,4718.0,24424.1152,63.04625498
2013-12-09,4718.0,5550.0,4701.0,5334.0,40551.752,63.04625498
2013-12-10,5329.0,5838.0,5300.0,5707.0,27244.4795,70.40258209
2013-12-11,5702.1,6080.0,5150.0,5450.0,52556.3889,70.40258209
2013-12-12,5450.0,5650.0,5251.0,5425.0,31730.8635,111.10158179999999
2013-12-13,5425.1,5655.0,5312.0,5499.0,30700.5107,111.10158179999999
2013-12-14,5497.89,5546.0,5145.0,5370.0,24925.1556,105.61498470000001
2013-12-15,5370.0,5380.0,4950.0,5229.0,33819.761,105.61498470000001
2013-12-16,5229.0,5345.0,4577.77,4705.1,42226.6741,71.90096179
2013-12-17,4705.1,4720.0,3105.0,3813.0,86320.9462,71.90096179
2013-12-18,3818.0,3928.0,2119.99,2839.0,110786.8182,35.404332000000004
2013-12-19,2840.0,3579.0,2562.0,3462.0,106477.2242,35.404332000000004
2013-12-20,3464.99,4288.0,3436.0,3985.0,89760.1192,60.47441856
2013-12-21,3985.0,4099.0,3250.0,3486.0,77599.4389,60.47441856
2013-12-22,3486.0,3956.0,3310.0,3771.0,80682.2047,78.88561601
2013-12-23,3774.0,3866.0,3666.0,3725.0,44532.1191,78.88561601
2013-12-24,3724.0,3970.0,3690.0,3828.0,47522.5394,94.67926632
2013-12-25,3828.0,3960.0,3763.12,3933.0,57988.1474,94.67926632
2013-12-26,3933.0,4326.0,3892.0,4288.07,95557.4587,133.3189603
2013-12-27,4290.0,4555.0,4200.0,4400.01,140844.0891,133.3189603
2013-12-28,4403.39,4450.0,4315.0,4390.0,47033.6182,146.2519865
2013-12-29,4390.0,4398.0,4203.0,4278.0,63211.1854,146.2519865
2013-12-30,4275.0,4410.0,4250.0,4363.0,50103.8396,101.3296563
2013-12-31,4363.4,4399.9,4240.0,4373.0,44691.2363,101.3296563
2014-01-01,4373.1,4395.0,4335.0,4354.0,30469.8835,161.37591469999998
2014-01-02,4352.55,4379.1,4340.08,4370.4,18563.5116,161.37591469999998
2014-01-03,4370.3,4848.0,4368.9,4745.0,112668.3285,65.65809252
2014-01-04,4745.47,4850.0,4649.92,4834.0,70463.9936,65.65809252
2014-01-05,4834.0,5555.0,4831.0,5345.0,126020.4199,81.84372105
2014-01-06,5345.0,5999.0,5272.0,5380.0,176788.4789,81.84372105
2014-01-07,5361.0,5842.77,4900.0,5367.0,136717.6909,105.02557730000001
2014-01-08,5364.2,5366.0,4200.0,4662.0,196244.12600000002,105.02557730000001
2014-01-09,4662.0,5089.0,4611.0,4909.0,105943.681,152.18266730000002
2014-01-10,4911.0,5058.0,4888.0,5004.89,58678.8958,152.18266730000002
2014-01-11,5004.0,5499.0,5002.41,5447.11,133467.0816,126.83518000000001
2014-01-12,5447.11,5549.0,5050.0,5259.0,130265.2188,126.83518000000001
2014-01-13,5255.0,5280.0,4640.0,4835.0,129104.859,135.0564762
2014-01-14,4835.0,5080.0,4738.0,4971.0,100056.334,135.0564762
2014-01-15,4965.11,5195.0,4953.1,5122.0,91914.6105,93.83772898
2014-01-16,5118.35,5157.0,4865.0,5001.99,68522.0987,93.83772898
2014-01-17,5001.6,5002.51,4791.0,4835.0,73671.5842,140.49406000000002
2014-01-18,4835.0,4924.44,4792.01,4850.99,47544.223,140.49406000000002
2014-01-19,4854.0,5121.0,4835.0,5065.0,52393.8711,202.5825712
2014-01-20,5063.1,5150.0,4968.0,4984.0,82670.8025,202.5825712
2014-01-21,4984.0,5069.0,4950.1,5000.0,41041.0618,89.13136416
2014-01-22,5000.0,5050.0,4970.2,4975.0,29295.144,89.13136416
2014-01-23,4975.88,5007.01,4888.0,4923.98,27388.122000000003,136.4495625
2014-01-24,4923.98,4940.0,4538.0,4734.59,84609.2971,136.4495625
2014-01-25,4753.02,4848.0,4670.0,4778.2,54159.1351,155.1978904
2014-01-26,4778.2,5150.0,4773.0,5017.0,88773.9272,155.1978904
2014-01-27,5016.31,5086.0,4855.0,4929.8,59934.3214,107.0006899
2014-01-28,4929.79,4929.79,4600.0,4796.98,99916.3519,107.0006899
2014-01-29,4798.0,4848.0,4722.0,4804.99,41815.8386,178.726396
2014-01-30,4805.0,4847.0,4734.0,4823.0,25856.2931,178.726396
2014-01-31,4821.99,4900.0,4813.0,4865.98,22042.4512,189.4754474
2014-02-01,4866.01,4994.0,4855.1,4945.0,27767.4256,189.4754474
2014-02-02,4945.02,5026.99,4925.0,4986.01,26816.6777,216.12714530000002
2014-02-03,4987.01,4998.0,4870.0,4917.8,25873.1914,216.12714530000002
2014-02-04,4917.79,4921.88,4871.6,4909.99,18779.5519,118.7404716
2014-02-05,4910.01,4950.0,4904.98,4913.0,16043.6674,118.7404716
2014-02-06,4913.0,4913.98,4756.0,4804.0,42171.0841,58.44265184
2014-02-07,4802.91,4810.0,4388.0,4600.0,124860.4977,58.44265184
2014-02-08,4601.0,4660.9,4485.0,4550.01,75348.4064,166.8981786
2014-02-09,4551.01,4599.0,4450.0,4486.98,72668.88799999999,166.8981786
2014-02-10,4486.98,4535.0,3507.98,4152.99,121703.6467,102.544528
2014-02-11,4151.0,4386.0,4055.0,4263.01,113527.8418,102.544528
2014-02-12,4263.01,4315.0,3874.03,4000.0,141407.7256,123.0546899
2014-02-13,4000.0,4069.8,3800.0,3962.79,80699.464,123.0546899
2014-02-14,3962.79,4035.9,3280.81,3991.0,211935.5509,86.24045673
2014-02-15,3991.0,4141.82,3833.01,4024.0,151277.9479,86.24045673
